Name,City,Beds,Baths,Guests,Revenue Potential,Days Available,Revenue,Occupancy,Daily Rate,Rating
Maison centre ville 3 room,Ablis,2 Bed,1 Bath,6 Guests,€17.8k,312,€15.6k,65%,€77.1,5 (297)
In the tropics of Ablis,Ablis,2 Bed,1 Bath,4 Guests,€14.7k,307,€12.7k,32%,€129.6,5 (10)
Industrial,Ablis,0 Bed,1 Bath,3 Guests,€10.2k,222,€10.1k,30%,€152.8,0 (0)
Charming room,Ablis,0 Bed,1 Bath,2 Guests,€16.8k,157,€10.1k,61%,€105.8,0 (0)
Charming room 3,Ablis,0 Bed,1 Bath,2 Guests,€13.2k,191,€9.8k,60%,€85,0 (0)
Charming Bedroom,Ablis,0 Bed,1 Bath,2 Guests,€13.3k,185,€9.3k,59%,€84.8,0 (0)
"Bedroom with BATHROOM, self-contained access",Ablis,0 Bed,1 Bath,2 Guests,€9k,299,€7.8k,61%,€42.6,5 (25)
Apartment - Ablis,Ablis,1 Bed,1 Bath,4 Guests,€12k,227,€7.6k,56%,€59.5,5 (64)
Cozy accommodation in Ablis,Ablis,1 Bed,1 Bath,4 Guests,€6.8k,360,€6.7k,36%,€51.8,5 (34)
Cozy quiet house,Ablis,2 Bed,1 Bath,4 Guests,€6.1k,198,€6.1k,43%,€72,5 (4)
MAISON DES PRES,Ablis,3 Bed,1 Bath,6 Guests,€12.7k,181,€5.6k,51%,€60.4,5 (24)
Petite maison mitoyenne,Ablis,2 Bed,1 Bath,6 Guests,€8.8k,141,€2.8k,17%,€115.1,5 (2)
Appartement Cosi Ablis,Ablis,1 Bed,1 Bath,2 Guests,€3.5k,95,€1.4k,24%,€62.7,0 (0)
Room in quiet house with garden.,Ablis,0 Bed,1 Bath,2 Guests,€2.2k,109,€1.1k,26%,€40.9,5 (6)
Bedroom with private bathroom,Ablis,1 Bed,1 Bath,2 Guests,€1.2k,33,€250.8,18%,€41.8,0 (0)
"Rambouillet, Chartres, Paris",Ablis,3 Bed,2 Bath,6 Guests,€9.6k,29,€238.9,7%,€119.4,0 (0)
Chambre pour une ou deux personnes,Ablis,1 Bed,1 Bath,2 Guests,€353.7,27,€77.2,7%,€38.6,5 (2)
Nice little studio in the city center of Ablis.,Ablis,1 Bed,1 Bath,2 Guests,€399.7,1,€46.9,100%,€46.9,0 (0)
spacious entire apartment/Ablon station/RER c.,Ablon-sur-Seine,2 Bed,1 Bath,3 Guests,€13.5k,283,€11.8k,51%,€81.2,4 (17)
Bright apartment overlooking the Seine,Ablon-sur-Seine,1 Bed,1 Bath,4 Guests,€9.2k,338,€8.9k,34%,€77.1,5 (62)
Paris Orly Petit Cocon sur Ablon à 15 Minutes de Paris,Ablon-sur-Seine,0 Bed,1 Bath,2 Guests,€7.7k,118,€7.7k,73%,€89.7,0 (0)
"""La Cabane"" Apartment near Paris.",Ablon-sur-Seine,1 Bed,1 Bath,2 Guests,€7.5k,152,€7.2k,78%,€60.8,5 (48)
"Bright apartment, 15 min from Paris",Ablon-sur-Seine,0 Bed,1 Bath,2 Guests,€7.6k,214,€6.9k,51%,€62.3,5 (13)
"F2 new, close to Orly airport and Guyards center",Ablon-sur-Seine,1 Bed,1 Bath,3 Guests,€14.5k,155,€6.6k,75%,€56,4 (112)
Large flat in nice area near Paris & Orly Airport,Ablon-sur-Seine,2 Bed,1.5 Bath,4 Guests,€8.2k,150,€6.2k,47%,€86.9,5 (8)
Apartment near Paris,Ablon-sur-Seine,2 Bed,1.5 Bath,4 Guests,€6.2k,249,€5k,23%,€88.6,5 (28)
2 Bedrooms private double bed,Ablon-sur-Seine,0 Bed,0 Bath,4 Guests,€5k,44,€5k,39%,€293.1,0 (0)
