City,Market Score,Annual Revenue,Occupancy Rate,Average Daily Rate,Seasonality,Rank
Verdelot,91,40400,43.0,339.2,91,1
Villemer,59,56500,73.0,378.4,37,2
Saint Martin En Biere,91,43000,62.0,342.4,17,3
Acheres La Foret,94,31900,52.0,312.7,69,4
Paris,98,18800,59.0,268.3,91,5
Cerny,79,53300,42.0,489.2,1,6
Serris,96,27400,61.0,180.9,56,7
Neuilly Sur Seine,96,12000,50.0,348.7,89,8
Malakoff,99,10500,55.0,184.7,96,9
Vanves,99,11100,54.0,186.8,94,10
Chessy,93,25900,57.0,201.7,49,11
Meudon,97,10100,51.0,231.5,89,12
Villeneuve Le Comte,81,36100,53.0,255.9,35,13
Montrouge,97,8800,56.0,170.3,91,14
Levallois Perret,97,9200,50.0,203.2,95,15
Vincennes,93,10500,58.0,168.3,85,16
Les Lilas,95,7500,54.0,172.9,98,17
Saint Ouen,96,9000,54.0,192.4,81,18
Coupvray,95,15400,47.0,177.4,82,19
Gentilly,98,10700,52.0,149.0,82,20
Le Pre Saint Gervais,96,6800,56.0,160.4,83,21
Bailly Romainvilliers,93,22500,46.0,252.5,42,22
Charenton Le Pont,94,8800,54.0,161.5,85,23
Palaiseau,99,7400,51.0,121.8,87,24
Montreuil,94,6700,53.0,153.8,91,25
Le Kremlin Bicetre,93,9700,52.0,143.4,86,26
Magny Les Hameaux,92,9000,48.0,170.9,93,27
Asnieres Sur Seine,93,7100,50.0,187.7,86,28
Arcueil,94,9500,53.0,144.4,76,29
Boissise Le Roi,90,15800,54.0,428.4,3,30
Les Pavillons Sous Bois,99,6200,47.0,140.6,88,31
Pantin,94,6600,52.0,158.6,84,32
Montevrain,89,17600,57.0,149.1,49,33
Boulogne Billancourt,85,9100,50.0,269.2,82,34
Bagnolet,92,7700,53.0,163.3,81,35
Saint Gratien,97,6300,43.0,205.1,87,36
Saint Mande,90,9300,51.0,198.6,78,37
Clichy,92,8300,52.0,170.1,77,38
Issy Les Moulineaux,86,9500,53.0,223.9,76,39
Crecy La Chapelle,91,14600,44.0,162.9,79,40
Ivry Sur Seine,92,8300,50.0,147.0,81,41
Lognes,95,11000,50.0,116.8,68,42
Orsay,98,5600,49.0,101.6,83,43
Houilles,93,8000,49.0,193.1,68,44
Suresnes,84,8300,47.0,216.7,93,45
Torcy,94,9100,50.0,165.7,63,46
Rosny Sous Bois,92,5900,50.0,132.4,86,47
Saint Germain Sur Morin,86,11600,57.0,124.0,68,48
Nanterre,88,7000,48.0,182.9,88,49
Cachan,85,8600,52.0,156.5,86,50
Viry Chatillon,98,5900,49.0,92.3,78,51
Sucy En Brie,90,8900,45.0,187.4,80,52
Villennes Sur Seine,85,10000,46.0,239.8,76,53
Vitry Sur Seine,92,7500,47.0,126.2,85,54
Puteaux,83,8700,49.0,198.9,86,55
La Chapelle La Reine,84,24200,49.0,306.9,6,56
Maisons Alfort,90,6800,47.0,138.8,89,57
Nanteuil Les Meaux,94,6800,54.0,113.0,65,58
Dannemois,85,16700,48.0,281.5,34,59
Athis Mons,96,6300,47.0,110.6,76,60
Gometz La Ville,94,5800,50.0,145.8,67,61
Fontainebleau,90,7500,50.0,138.7,74,62
Versailles,84,11100,50.0,260.4,53,63
Quincy Voisins,92,15400,52.0,139.0,33,64
Bussy Saint Georges,88,11900,52.0,132.9,58,65
